RowIndex,ColumnName,Old,New,Reasons
340,And how old is Child 5?,Under 1 year old,No specific feedback provided.,short_or_nonanswer
378,And how old is Child 5?,Over 18 years old,No specific feedback provided.,short_or_nonanswer
765,And how old is Child 5?,Under 1 year old,No specific feedback provided.,short_or_nonanswer
813,And how old is Child 5?,Under 1 year old,No specific feedback provided.,short_or_nonanswer
1,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
5,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
7,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
10,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
11,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
14,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
16,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
17,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
18,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
19,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
20,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
23,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
25,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
33,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
37,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
40,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
41,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
49,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
53,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
60,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
63,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
71,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
75,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
77,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
81,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
89,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
93,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
94,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
95,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
99,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
100,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
103,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
104,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
108,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
118,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
122,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
125,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
127,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
131,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
134,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
150,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
151,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
152,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
153,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
155,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
159,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
161,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
164,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
166,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
167,Name the clothing retailers you have NOT heard of before today?,I've heard of ALL of  these stores before,No specific feedback provided.,off_topic
